PROVINCIA;HORARIO DEL SERVICIO;DIAS HABILES;RUTA;COSTO;TIPO DE TRANSPORTE;VEHICULOS X RUTA;ORIGEN ;DESTINO;FEDERACION/SINDICATO;TIPO DE LICENCIA;ESTADO;FECHA_ACTUALIZACION
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-109;50;CARRO;79;N/A;N/A;ASOCIACIÓN DE DUEÑOS DE CARROS DE SERVICIOS VALIENTE Y ZONAS ALEDAÑAS. (ADECASVAZA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-83;40;CARRO;41;N/A;N/A;SERVICIOS DE TRANSPORTE SERTRANSMELLA.SRL (SERTRANSMELLA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-28;50;MICROBUS;44;N/A;N/A;ASOPROCHOVIMG,SRL (APROCHOVIMG);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-99 B;35;CARRO;57;N/A;N/A;COMPAÑIA DE TRANSPORTE COMTRASOLZA,SRL (COMTRASOLZA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-30;35;CARRO;59;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LA AUTOPISTA DE SAN ISIDRO (ASOCHOASI);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-4;35;CARRO;218;N/A;N/A;ASOCIACIÓN DE CHOFERES DE BUENOS AIRES-KM9 (ASOCHOBA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-5;50;CARRO;370;N/A;N/A;COMPAÑIA DE TRANSPORTE LA BOLIVAR-INDEPENDENCIA, COMTRABOIN,SRL (COMTRABOIN,SRL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-25;35;CARRO;321;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LA 25 DE FEBRERO (ASOCHOCAFBERO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-64;35;CARRO;111;N/A;N/A;ASOCIACIÓN DE CHOFERES DE CARROS ISABELITA FARALLONES RUTA F (ASOCHOCAIFA R-F);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-1;40;CARRO;410;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LA AVENIDA INDEPENDENCIA (ASOCHOCAINDE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-2;35;CARRO;392;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LA AVENIDA INDEPENDENCIA (ASOCHOCAINDE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-104;100;MINIBUS;13;N/A;N/A;ASOCIACIÓN DE CHOFERES DUEÑOS DE CARROS Y MINIBUSES INC (ASOCHOCAMPOLINDO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-98;100;MINIBUS;20;N/A;N/A;ASOCIACIÓN DE CHOFERES DUEÑOS DE CARROS Y MINIBUSES INC. (ASOCHOCAMPOLINDO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-7;40;CARRO;49;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LA OVANDO, VILLA MELLA Y LA VICTORIA (ASOCHOCAOVIC);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-80;35;CARRO;20;N/A;N/A;COMPAÑIA DE TRANSPORTE (ASOCHOCIA S.R.L.) (ASOCHOCIA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-16B;40;MICROBUS;20;N/A;N/A;ASOCIACIÓN DE CHOFERES PROPIETARIOS Y COBRADORES VILLA FARO MENDOZA (ASOCHOCOPROVIM);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-32;40;CARRO;223;N/A;N/A;COMPAÑIA DE TRANSPORTE ASOCHOCRUSA S.R.L. (ASOCHOCRUSA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-47;35;CARRO;67;N/A;N/A;SERVICIOS DE TRANSPORTE SERTRAVIME,SRL (SERTRAVIME, SRL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-27A;45;MINIBUS;25;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LOS ALCARRIZOS (ASOCHODELA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-10;35;CARRO;69;N/A;N/A;ASOCIACIÓN DE CHOFERES Y DUEÑOS DE CARROS DE SAN LUIS (ASOCHODUCASAL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-33;40;CARRO;256;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LOS GIRASOLES-KM9 AUTOPISTA DUARTE (ASOCHOGIRANUEVE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-67;35;CARRO;137;N/A;N/A;ASOCIACIÓN DE CHOFERES DEL KILÓMETRO CERO (ASOCHOKM0);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-1A;35;CARRO;36;N/A;N/A;ASOCIACIÓN DE CHOFERES DE MANOGUAYABO (ASOCHOMA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-11;35;CARRO;164;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LA MÁXIMO GÓMEZ (ASOCHOMAXI);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-12;35;CARRO;99;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LOS MAMEYES (ASOCHOMEYES);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-39;35;CARRO;80;N/A;N/A;COMPAÑIA DE TRANSPORTE ASOCHOMINA,SRL (ASOCHOMINA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-13;35;CARRO;121;N/A;N/A;COMPAÑIA DE TRANSPORTE CONTRADUSAV,SRL (CONTRADUSAV);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 11:30 p.m.;7;N/A;35;AUTOBUS;30;N/A;N/A;CORREDOR NUÑEZ DE CACERES (CNC);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 11:30 p.m.;7;N/A;35;AUTOBUS;47;N/A;N/A;CORREDOR WINSTON CHURCHILL (CWC);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 11:30 p.m.;7;N/A;35;AUTOBUS;94;N/A;N/A;CORREDOR CHARLES DE GAULLE (CCH);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-85;35;CARRO;85;N/A;N/A;COMPAÑIA DE TRANSPORTE URBANA KM.9-PUYA-ZOOLÓGICO SRL. (KM. 9-PUYA-ZOOLOGICO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-110;35;CARRO;56;N/A;N/A;ASOCIACIÓN DE CHOFERES DEL PARQUE INDEPENDENCIA (ASOCHOPAIN);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-93;35;CARRO;110;N/A;N/A;COMPAÑIA DE TRANSPORTE PEDRO LIVIO CEDEÑO- ARROYO HONDO, SRL (ASOCHOPELICEAH CORR. 93);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-15;40;CARRO;220;N/A;N/A;ASOCIACIÓN DE CHOFERES PINTURA-CAOBA - CRUCE DE MANOGUAYABO (ASOCHOPICMA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-108;35;CARRO;50;N/A;N/A;ASOCIACIÓN DE CHOFERES PARQUE INDEPENDENCIA-DUARTE-PARÍS (ASOCHOPIDUPA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-42;35;CARRO;65;N/A;N/A;ASOCIACIÓN DE CHOFERES DE LOS RÍOS  (ASOCHORIOS);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-102;40;MINIBUS;33;N/A;N/A;ASOCIACIÓN DE CHOFERES DE SAN LUIS (ASOCHOSAL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-17;35;CARRO;63;N/A;N/A;ASOCIACIÓN DE CHOFERES DE SABANA LARGA-LA UREÑA (ASOCHOSAUR);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-76A;35;CARRO;271;N/A;N/A;ASOCIACIÓN CHÓFERES SABANA PERDIDA Y ZONAS ALEDAÑAS (ASOCHOSPEZA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-77B;35;CARRO;85;N/A;N/A;ASOCIACIÓN CHÓFERES SABANA PERDIDA Y ZONAS ALEDAÑAS (ASOCHOSPEZA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-35;40;CARRO;464;N/A;N/A;ASOCIACIÓN DE CHOFERES DEL TRANSPORTE DE PASAJEROS DEL KM. 12 DE HERRERA (ASOCHOTRANSPKM12H);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-66;40;CARRO;76;N/A;N/A;ASOCIACIÓN DE CHOFERES DEL KILÓMETRO TRECE (ASOCHOTRECE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-19;35;CARRO;99;N/A;N/A;ASOCIACIÓN DE CHOFERES UNIFICADOS DE LA BARTOLOMÉ COLÓN-DR. DELGADO (ASOCHOU);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-26;35;CARRO;156;N/A;N/A;ASOCIACIÓN DE CHOFERES DE VILLA JUANA Y VILLA CONSUELO (ASOCHOVIJUCO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-2E;35;CARRO;388;N/A;N/A;ASOCIACIÓN DE CHOFERES DE VILLA MELLA (ASOCHOVIM 002E(RC));Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-2E;45;MINIBUS;67;N/A;N/A;ASOCIACIÓN DE CHOFERES DE VILLA MELLA (ASOCHOVIM 002E(RM));Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-95;35;CARRO;314;N/A;N/A;ASOCIACIÓN DE DUEÑOS Y CHOFERES MERCADO NUEVO-DUARTE (ASODUCHOMENUDU);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-27;40;MINIBUS;30;N/A;N/A;COMPAÑIA DE TRANSPORTE ASOPROCAESA,SRL (ASOPROCAESA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-96 C;35;CARRO;91;N/A;N/A;ASOCIACIÓN DE PROPIETARIOS DE CARROS RIVERA DEL OZAMA (ASOPROCARO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-28;35;CARRO;663;N/A;N/A;ASOCIACIÓN DE CHOFERES PROPIETARIOS DE CARROS DE LA 27 DE FEBRERO (ASOPROCAVEFE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;A-20A;45;AUTOBUS;14;N/A;N/A;ASOCIACIÓN DE PROPIETARIOS Y COBRADORES DE INVIVIENDA SANTO DOMINGO (ASOPROCHOCOIN);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;A-20B;45;AUTOBUS;26;N/A;N/A;ASOCIACIÓN DE PROPIETARIOS Y COBRADORES DE INVIVIENDA SANTO DOMINGO (ASOPROCHOCOIN);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-39;40;MICROBUS;36;N/A;N/A;ASOCIACIÓN DE PROPIETARIOS DE GUAGUA DE CANCINO ADENTRO (ASOPROGUACADE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-9-12;40;MICROBUS;62;N/A;N/A;ASOCIACIÓN DE PROPIETARIOS DE MINIBUSES DE HERRERA (ASOPROMIHE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-94;40;MICROBUS;54;N/A;N/A;EMPRESAS DE MINIBUSES DE LA JACOBO MAJLUTA-KM.13, ASOPROMIJA,SRL (ASOPROMIJA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-96A;40;MINIBUS;5;N/A;N/A;COMPAÑIA DE TRANSPORTE COMTRASTAR,SRL (COMTRASTAR);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-96B;40;MINIBUS;11;N/A;N/A; ASOCIACIÓN DE CHOFERES PROPIETARIOS DE MINIBUSES RIVERAS DEL OZAMA (ASOPROMIRO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-7;40;MINIBUS;35;N/A;N/A;ASOCIACIÓN DE PROPIETARIOS DE MINIBUSES KM. 9-UASD (ASOPROMIUASD);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-5C (Inactiva);35;CARRO;13;N/A;N/A;ASOTRADUFI R-5C (ASOTRADUFI);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-101 E;40;CARRO;150;N/A;N/A;ASOCIACIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-101A;40;MINIBUS;8;N/A;N/A;ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA);Urbano;N/A;18/7/2025
